,max_ti,dur,r2,slope,ltl
u:hriX,14.0,912186.0,0.9414698711934761,1.6089421762891953e-05,enes
u:d9w2,5.0,5426.0,0.7929396024938885,0.000859089493492837,pten
u:f7Ou,8.0,353083.0,0.7887352373391028,2.083684182872133e-05,esen
u:ixWk,17.0,541325.0,0.8368848437971094,2.3922049830586583e-05,esen
u:gLE-,14.0,598526.0,0.871347866625091,2.481119147919266e-05,enes
u:gyC9,31.0,625887.0,0.2315938255920025,3.039338176619139e-05,esen
u:iCR1,12.0,707565.0,0.9299912633069874,1.279204448597859e-05,ende
u:hOmf,15.0,661224.0,0.891747892872366,1.871440787991447e-05,iten
u:egyd,16.0,873017.0,0.9639870997590216,1.8291191842188218e-05,enpt
u:f3LB,20.0,948432.0,0.8820947782642594,2.0928926430173895e-05,enfr
u:i49t,9.0,156869.0,0.8209310875947978,4.365967876528182e-05,iten
u:hY9w,70.0,1017460.0,0.9524422939833951,5.446654629744173e-05,pten
u:gZYN,7.0,12974.0,0.782693499256532,0.0003604292171938572,pten
u:iDuS,8.0,949095.0,0.8966644515552402,7.725063325331278e-06,enfr
u:hMvO,12.0,427079.0,0.8099158635416617,2.6048413017250858e-05,ende
u:dLfS,6.0,1365.0,0.7748426830182759,0.004327866571815624,enfr
u:gHRF,7.0,546465.0,0.7600133868712817,8.775488295938187e-06,ende
u:dKK7,2.0,760.0,0.9994808790448175,0.002630212839591625,esen
u:gEEC,4.0,1546.0,0.9778632982488438,0.002685699802935578,enit
u:gFGK,12.0,784011.0,0.8010132247188959,9.62788134426462e-06,enit
u:iuTx,101.0,1009576.0,0.8768212496775082,9.885095743959475e-05,enes
u:i4DO,70.0,251203.0,0.758295835172783,0.00022289240860764547,enes
u:gBoJ,16.0,896040.0,0.8478128233990944,1.266449686945343e-05,enfr
u:bsap,22.0,439108.0,0.8116597251459785,4.694499842074821e-05,esen
u:i8qY,17.0,263324.0,0.8782101590093183,4.6109772807737503e-05,esen
u:w6A,6.0,716700.0,0.9725766639431297,7.55179186051657e-06,enit
u:fTA2,28.0,780375.0,0.9444839639399848,2.7694849612423105e-05,enes
u:eZFi,6.0,769253.0,0.8575868500769402,7.948043990220469e-06,enes
u:g9nK,7.0,681479.0,0.6027764030499927,1.0331850656233731e-05,enfr
u:d5_u,4.0,521865.0,0.9314252170035854,6.297042937609214e-06,pten
u:fQ1R,16.0,575172.0,0.9297385676351233,2.161853212723564e-05,enes
u:g_l2,17.0,806178.0,0.8656830885121156,2.2238128478459713e-05,enes
u:h2Fm,14.0,602382.0,0.7856185207258851,1.9330146850858072e-05,enit
u:iwqu,46.0,858561.0,0.8527655063935123,3.391469543668412e-05,enes
u:ienG,4.0,843201.0,0.8992178119019646,4.29142663200297e-06,enes
u:g5jF,13.0,495947.0,0.8552780727088537,1.9912685560789658e-05,enes
u:hHWW,15.0,262174.0,0.9197207264466448,4.1882626068166754e-05,ende
u:g7K0,13.0,180232.0,0.7941278804560211,5.089540839040926e-05,pten
u:ht1b,14.0,366527.0,0.7470324970013623,2.864360559054346e-05,ende
u:ioa9,5.0,503306.0,0.8764396429967495,9.96778747642083e-06,enes
u:iaAp,10.0,352325.0,0.6283408056064128,2.6191115166163658e-05,enfr
u:hiaF,5.0,404386.0,0.8410797348960427,9.02837426197668e-06,enpt
u:h6Fl,13.0,1004120.0,0.7971540302048584,7.880748536404736e-06,esen
u:cfBf,18.0,825066.0,0.8856172921720327,1.563546168325715e-05,esen
u:VEE,27.0,617198.0,0.8260064410952304,3.871106012252951e-05,enes
u:hg_E,12.0,91105.0,0.7249292758513768,7.31116044090408e-05,enpt
u:hSr_,5.0,599060.0,0.4307016113153791,5.026817617701277e-06,iten
u:i0NQ,23.0,424448.0,0.8855630176836923,5.835814923731205e-05,enes
u:i0cn,15.0,251559.0,0.7280881880608243,4.775645612939448e-05,esen
u:h4Ii,10.0,704750.0,0.921932937734912,1.1663746279864969e-05,enes
u:jaRK,25.0,126754.0,0.6158143079878942,0.00019666806540552723,enfr
u:i3AX,15.0,328098.0,0.5486055902361796,3.127647925048504e-05,pten
u:iYmd,43.0,159627.0,0.8227084358363211,0.0002179461363510498,enes
u:fxkW,62.0,703085.0,0.9253345581744011,7.505367591028576e-05,enes
u:ifG6,7.0,676910.0,0.9321543404073085,1.0630591967907945e-05,enes
u:hpsQ,18.0,567315.0,0.9734259935851027,3.0271578427077925e-05,enes
u:gasi,9.0,599015.0,0.7282656120998015,8.36673615258859e-06,enes
u:iNLP,33.0,507144.0,0.9164526628593349,4.734923991797279e-05,enfr
u:hmcM,5.0,40023.0,0.8077802382788241,8.009424779244292e-05,ende
u:ilRb,12.0,621233.0,0.7400951933174298,2.0110826018009067e-05,enfr
u:e1lC,8.0,704968.0,0.8670971200994442,1.2052992756496268e-05,enfr
u:gD1X,18.0,472980.0,0.925448164352732,3.3127296470730144e-05,ende
u:i19U,17.0,496004.0,0.7905664347169257,3.175390423794584e-05,enes
u:f2Qp,9.0,432570.0,0.8544553379485953,1.4158290795720434e-05,enes
u:hI6n,7.0,477059.0,0.7159364233441675,8.411713097529244e-06,enfr
u:esqf,25.0,522201.0,0.3852260647154883,2.8638482983971257e-05,esen
u:eqiU,4.0,3093.0,0.9141918262367308,0.0010341536495890621,pten
u:imon,7.0,530594.0,0.8335014212612698,1.0442211462840258e-05,pten
u:hwm6,9.0,981132.0,0.9174642613031306,7.026219342943431e-06,esen
u:chn6,7.0,431171.0,0.7090018556922453,1.1698795095254022e-05,esen
u:i0lP,45.0,585523.0,0.9590908877949992,7.025109234373955e-05,enes
u:jdHK,12.0,87068.0,0.7655527106065133,7.733641130738966e-05,enes
u:f5-U,6.0,584716.0,0.8568024396798481,7.2753063851123735e-06,esen
u:gEcx,4.0,844.0,0.9996992910164368,0.004731184529183326,enes
u:eDgm,26.0,852267.0,0.9756859472959356,2.787973843535182e-05,esen
u:ilfW,10.0,427664.0,0.8557755930145171,1.8355237982920798e-05,esen
u:iVif,17.0,275638.0,0.8582713830346912,5.573921781793292e-05,enfr
u:trt,27.0,951470.0,0.9864478798136062,2.7773231476789447e-05,enfr
u:fU6D,5.0,822777.0,0.8383766694180861,4.058553487305536e-06,enes
u:e93i,5.0,463125.0,0.9298444308923823,1.078844938284498e-05,esen
u:hMIC,5.0,125789.0,0.4356676868748062,2.4127357084499432e-05,esen
u:iDfj,37.0,639371.0,0.8486942396947518,4.6175843837862816e-05,enes
u:bfpN,10.0,329817.0,0.5856796569022751,1.9547557633800837e-05,esen
u:iPIR,20.0,105762.0,0.7606929755075524,0.00012180163570003857,enes
u:iEZD,33.0,399153.0,0.6948203551312799,4.6931489315733665e-05,esen
u:hUnn,6.0,167379.0,0.45472931303552344,2.3572663806260767e-05,esen
u:fgyv,9.0,717.0,0.9853244332455333,0.011761450588549013,enfr
u:iNNq,19.0,692518.0,0.6736772796294699,2.046203386778223e-05,esen
u:gRJW,4.0,176065.0,0.7469463278133752,1.8138350136918575e-05,enit
u:gIYK,20.0,689616.0,0.8777390724314333,2.5334996261829234e-05,enes
u:gzSU,8.0,115462.0,0.702795405017357,5.212204447737496e-05,pten
u:eMRp,10.0,168950.0,0.6045465698264205,3.2827586713247e-05,enpt
u:hn9j,2.0,561.0,0.9402253362916109,0.0033519619832142987,enit
u:gDjJ,5.0,38539.0,0.701544685622275,8.026144883658018e-05,esen
u:f2mx,6.0,914231.0,0.9442077139233326,5.583993985907766e-06,enfr
u:fqDa,2.0,632384.0,0.7522877500021389,2.3792118396485014e-06,esen
u:hD-g,4.0,2211.0,0.9641680568155416,0.0017245001910490818,enfr
u:edHy,11.0,82531.0,0.7720177052928501,0.00012187461083713469,enes
u:istQ,6.0,805168.0,0.7529668545975894,7.735666584379863e-06,ende
u:gbdY,11.0,866208.0,0.8919049555252138,8.65620921053799e-06,enes
u:icdq,16.0,906624.0,0.42670011720412576,1.2762350485498938e-05,ende
u:ijww,8.0,263472.0,0.6834325506461556,1.735679675549912e-05,esen
u:iAzA,21.0,206643.0,0.855038030149922,0.0001007889444027643,enes
u:dd9o,14.0,137012.0,0.8449731081580382,8.722077966070946e-05,esen
u:iQZ_,31.0,325160.0,0.8537225079795535,8.55087529213643e-05,ende
u:c3wG,5.0,755881.0,0.9769022901297598,6.773658748688587e-06,esen
u:ieLd,38.0,875136.0,0.7562282768892427,6.942816953370599e-05,enfr
u:izX3,52.0,296389.0,0.5649725693556252,9.706740427475206e-05,esen
u:iAPU,14.0,427140.0,0.7561293863543164,3.520323415592767e-05,esen
u:iQB0,18.0,153585.0,0.7627049758244904,6.388230626288464e-05,esen
u:eN6a,5.0,668952.0,0.8321519353407392,6.194527465740834e-06,pten
u:iJKf,30.0,616241.0,0.6650502482202059,3.2509935025964895e-05,esen
u:g__J,17.0,318774.0,0.8778777221683061,4.1275925398005085e-05,enes
u:d8mF,5.0,1850.0,0.9890689766984285,0.002566153757186435,pten
u:hXkN,21.0,859564.0,0.9452366803879182,1.9049139422203102e-05,enes
u:g1lo,67.0,855806.0,0.9579302121399651,8.632145485513961e-05,enes
u:QVC,29.0,955478.0,0.973923790269487,2.4740227500214166e-05,enes
u:mYe,9.0,937522.0,0.9927812734429426,9.566222845600601e-06,esen
u:ihUs,31.0,336331.0,0.6642329770952164,9.36712398601327e-05,enfr
u:f6oR,18.0,554290.0,0.8689230185035934,2.8264802945319984e-05,pten
u:ire6,6.0,701.0,0.9908563996211893,0.008041733098374871,enes
u:jbTr,8.0,15015.0,0.9824471170534818,0.0005398407134450826,esen
u:hffZ,18.0,23846.0,0.7855593906030526,0.0004689204472582163,enit
u:i1Ly,40.0,294695.0,0.7690533705996901,0.00013048397637348914,enes
u:iyWB,170.0,972772.0,0.9608536092406527,0.0001729033594221824,enes
u:hC_b,15.0,241108.0,0.768301626921065,5.172538432843538e-05,ende
u:d0sB,3.0,42196.0,0.8074089812569933,4.805891414829368e-05,esen
u:h8gA,5.0,200642.0,0.6906008047745023,1.5115924369252864e-05,esen
u:hROY,21.0,811304.0,0.5322739364786762,1.545452115551981e-05,iten
u:hn9P,40.0,861362.0,0.9106266512925016,4.496135302749223e-05,enfr
u:iPQ9,16.0,431351.0,0.4785542870791608,2.103907512278056e-05,esen
u:h0Dn,25.0,923923.0,0.396123221592423,1.4222882665665692e-05,ende
u:iPos,18.0,578124.0,0.7923195829327548,1.9225243765561545e-05,ende
u:fkNU,23.0,923764.0,0.8846112441286924,2.3067852266081077e-05,iten
u:gaER,9.0,337415.0,0.8026172763524692,1.953627416286139e-05,esen
u:ib7X,8.0,86521.0,0.5457576347947504,5.39582117460416e-05,enpt
u:hxZT,6.0,330204.0,0.38023917365996096,1.0708258641408366e-05,esen
u:bAvc,7.0,682024.0,0.9839172428961701,9.965597902157597e-06,enfr
u:ev3F,8.0,702952.0,0.9133210315316708,1.2455852588886147e-05,pten
u:gDEH,9.0,442910.0,0.5981593463083151,1.6305639657081664e-05,esen
u:ieqP,4.0,62780.0,0.5053020601632455,4.0140292663344465e-05,enes
u:h6Q5,4.0,431052.0,0.8825452635507113,7.300224112009151e-06,enfr
u:hdE6,28.0,426021.0,0.7044933442423177,8.661470117934398e-05,esen
u:bwtJ,34.0,880983.0,0.9620087988144794,3.538275234678431e-05,ende
u:h4qb,8.0,777951.0,0.8962887683566676,1.1436750138691859e-05,esen
u:hl10,19.0,11448.0,0.9674484760766574,0.0017540360527529843,enes
u:gfyS,90.0,823264.0,0.955570653211017,0.00011017841618714703,iten
